,Judul,Nama Penulis,Pembimbing I,Pembimbing II,Abstrak
242,HUBUNGAN KECERDASAN EMOSIONAL TERHADAP HASIL BELAJAR PADA MATA PELAJARAN DASAR DESAIN GRAFIS SISWA KELAS X TKJ DI SMK NEGERI 2 LAMONGAN  ,Maulida Eka Yuliana,"Muchamad Arif, S.Pd., M.Pd","Medika Risnasari, S.ST., M.T","terhadap hasil belajar pada mata pelajaran dasar desain grafis siswa kelas X TKJ di SMK Negeri 2 Lamongan. Penelitian ini menggunakan pendekatan kuantitatif dengan desain penelitian korelasi. Sampel pada penelitian ini berjumlah 72 siswa yang dipilih menggunakan teknik sampling jenuh. Data penelitian diperoleh melalui angket kecerdasan emosional dan tes hasil belajar pada mata pelajaran dasar desain grafis. Data hasil penelitian menunjukkan bahwa 14% siswa memiliki kecerdasan emosional dalam kategori tinggi, 71% dalam kategori sedang, dan 15% dalam kategori rendah. Sedangkan untuk hasil belajar didapat 18% siswa memiiliki hasil belajar dengan kategori tinggi, 72% dalam kategori sedang, dan 10% dalam kategori rendah. Hasil penelitian analisis korelasi product moment diperoleh r_xy  = 0.642763213 dan thitung = 10,9216, kemudian thitung dibandingkan dengan ttabel dengaan taraf sinifikan 5% maka diperoleh hasil thitung = 10,9216 > ttabel = 1,994 sehingga Ho di tolak dan Ha diterima yaitu terdapat hubungan yang signifikan antara kecerdasan emosional dengan hasil belajar pada mata pelajaran dasar desain grafis siswa kelas X di SMK Negeri 2 Lamongan. Nilai koefisien determinasi adalah 41.31% yang menunjukkan bahwa kecerdasan emosional memberikan pengaruh sebesar 41.31% terhadap hasil belajar, sisanya sebesar 58,69% dipengaruhi oleh faktor lain 

Kata kunci: kecerdasan emosional, hasil belajar"
243,ANALISIS PEMECAHAN MASALAH BERDASARKAN TEORI POLYA PADA MATERI STRUKTUR KONTROL PERULANGAN KELAS X DITINJAU DARI KEMAMPUAN AWAL SISWA,Widyawati,"Puji Rahayu Ningsih, S.Pd., M.Pd.","Medika Risnasari, S.ST., M.T","Pemecahan masalah merupakan proses siswa berpikir untuk menemukan sebuah solusi dalam suatu permasalahan. Siswa mengalami kendala dalam memecahkan soal seperti kesulitan dalam menalar soal cerita yang terbilang matematis. Tujuan dari penelitan ini adalah untuk mengetahui kemampuan siswa dalam memecahkan masalah berdasarkan teori Polya kelas X RPL ditinjau dari kemampuan awal siswa pada materi struktur kontrol perulangan di SMK Negeri 1 Labang. Jenis penelitian ini adalah deskriptif kualitatif. Penelitian ini menemukan bahwa: 1) siswa dengan kemampuan awal tinggi mampu melalui semua tahapan Polya dengan baik, memahami masalah pada soal yang diberikan, menyusun rencana penyelesaian, menggunakan semua pengetahuan awalnya untuk melaksanakan rencana, dan melakukan pemeriksaan kembali. 2) siswa dengan kemampuan awal sedang hanya mampu melalui tiga tahapan Polya, memahami permasalahan dari soal, menyusun sebuah rencana permasalahan, melakukan pemeriksaan kembali, karena pada tahap melaksanakan rencana penyelesaian siswa tidak mampu melaksanakan sesuai dengan prosedur dan cenderung melakukan kesalahan. 3) siswa berkemampuan awal rendah tidak mampu melalui semua tahapan Polya. Tahap memahami masalah, subyek tidak mampu memahami masalah karena tidak bisa menjelaskan masalah pada soal. Tahap menyusun sebuah rencana, subyek tidak dapat menyusun rencana karena tidak mampu memahami masalah sehingga tidak bisa membuat sebuah solusi penyelesaian. Tahap melaksanakan rencana, subyek tidak mampu melaksanakan rencana karena tidak bisa membuat perencanaan penyelesaian. Tahap memeriksa hasil, subyek tidak melakukan tahap memeriksa hasil"
244,"PENGARUH MODEL PEMBELAJARAN BLENDED LEARNING TERHADAP HASIL BELAJAR SISWA PADA MATA PELAJARAN SISTEM KOMPUTER KELAS X  RPL SMK N 2 BANGKALAN
",Zuhrisa Itaul Maghfiroh,"Sigit Dwi Saputro, S.Pd., M.Pd.","Muchamad Arif, S.Pd., M.Pd.","Abstrak

Tujuan dilakukannya penelitian ini adalah: 1) mengetahui pengaruh model pembelajaran blended learning terhadap hasil belajar siswa; 2) mengetahui keterlaksanaan pembelajaran menggunakan model pembelajaran blended learning pada mata pelajaran sistem komputer kelas X RPL SMK Negeri 2 Bangkalan; dan 3) mengetahui respon siswa terhadap model pembelajaran blended learning pada mata pelajaran sistem komputer kelas X RPL SMK Negeri 2 Bangkalan. Penelitian ini menggunakan media e-learning edmodo. Penelitian ini merupakan penelitian kuantitatif yang menggunakan Quasi Experimental Design dengan desain penelitian Nonequivalent Control Group Design. Populasi dalam penelitian ini adalah seluruh siswa kelas X RPL SMK Negeri 2 Bangkalan. Pengambilan sampel pada penelitian ini menggunakan teknik nonprobability sampling dengan jenis sampel jenuh yaitupada kelas X RPL yang berjumlah dari 43 siswa. Hasil dari penelitian ini:1) Berdasarkan hasil uji signifikan (uji-t) diperoleh nilai thitung sebesar 2,8698> ttabel sebesar 2,1009. Sehingga dapat disimpulkan bahwa terdapat pengaruh model pembelajaran blended learning terhadap hasil belajar kognitif siswa pada materi struktur CPU. 2)Hasil observasi aktivias guru sebesar 88,5% dengan kategori sangat baik, aktivitas siswa sebesar 71,5% dengan kategori baik, dan 3) angket respon diperoleh hasil 81,42% dengan kategori sangat baik.


Kata kunci: model pembelajaran blended learning, hasil belajar, sistem komputer
"
245,Pengembangan Media Pembelajaran Asbabun Nuzul Al Quran Juz – 30 Berbasis Android Pada Mata Pelajaran Al Quran Hadist,Muhammad Rifai Romly,"Medika Risnasari, S.ST., M.T.","Muchamad Arif, S.Pd., M.Pd","Mata pelajaran Al Quran Hadist merupakan mata pelajaran yang penting dan wajib diikuti oleh seluruh siswa Madrasah Aliyah. Mata pelajaran Al Quran Hadist juga mempelajari tentang materi Asbabun Nuzul Al Quran. Pada proses belajar mengajar terdapat permasalahan yaitu seringnya guru menggunakan metode ceramah, media pembelajaran  yang berupa Kitab dan LKS dan sulitnya guru menemukan media lain selain kitab untuk digunakan dalam pembelajaran di kelas, sedangkan siswa banyak yang memiliki smartphone. Penelitian ini bertujuan untuk mengembangkan media pembelajaran yang berupa aplikasi mobile learning berbasis android tentang mata pelajaran Al Quran Hadist. Dalam pembuatan aplikasi ini menggunakan bahasa pemrograman Java. Banyak siswa yang mempunyai smartphone mampu menjadikan aplikasi ini sebagai penunjang pembelajaran dalam memanfaatkan media sehingga dapat membantu guru dalam pembelajaran. Prosedur pengembagan penelitian ini digunakan metode penelitian dan pengembangan dengan model pengembangan 4D dengan empat tahap yaitu Define (Pendefinisian), Design (Desain), Development (Pengembangan), Dessemination (Penyebarluasan). Hasil dari uji coba pengembangan produk ini adalah uji coba kelompok perorangan mendapatkan hasil 85 %, Uji coba kelommpok Kecil mendapatkan hasil 84 % dan uji coba kelompok besar mendapatkan hasil 88%. Dapat disimpulkan bahwa media pembelajaran ini “ sangat layak” dimanfaatkan oleh siswa dalam proses pembelajaran Al Quran Hadist di MA Ma’arif 22 Darul Ulum Wudi.


Kata Kunci: media pembelajaran, mobile, android, Asbabun Nuzul, 4D.
"
246,"PENGEMBANGAN APLIKASI BERBASIS WEB UNTUK MENGOLAH NILAI RAPOR DI MTs AT-TAQWA KALANGANYAR
",Nur Habibah,"Medika Risnasari, S.ST., M.T.","Muchamad Arif, S.Pd., M.Pd.","ABSTRAK


Permasalahan yang didapat pada tahap awal penilitian adalah proses pengolahan nilai rapor di MTs At-Taqwa masih menggunakan aplikasi berbasis excel dan berpusat pada wali kelas. Oleh karena itu tujuan dari penilitian dan pengembangan ini adalah mengembangkan aplikasi berbasis web yang diimplementasikan untuk mengolah nilai rapor di MTs At-taqwa Kalanganyar, agar dapat mempermudah dan meningkatkan efisiensi dalam mengolah nilai rapor. Penelitian ini menggunakan model waterfall yang mempunyai lima tahapan yaitu komuniasi, perencanaan, pemodelan, konstruksi, dan penyerahan sistem/perangkat lunak ke pengguna. Instrumen yang digunakan adalah angket dan software WAPT 10.0. Hasil dari penilitian ini adalah pengujian functional suitability yang dilakukan oleh ahli sistem memperoleh hasil 95.3% (sangat layak), uji coba pengguna (usability) memperoleh hasil 88.73% (sangat layak), uji coba ahli desain memperoleh hasil 90.76% (sangat baik), dan uji reliability memperoleh hasil 100% (sangat layak).

Kata Kunci: Rapor, Waterfall, Web, MTs.
"
247,PENGEMBANGAN MEDIA PEMBELAJARAN TRAINER NOTEBOOK “KERAMIK” DALAM MATA PELAJARAN KOMPUTER DAN JARINGAN DASAR MATERI MERAKIT NOTEBOOK PADA KELAS X TKJ SMK AL-MUHAJIRIN ,MUCHLIS,"Wanda Ramansyah, S.Pd., M.Pd","Puji Rahayu Ningsih, S.Pd., M.Pd","Penelitian pengembangan bertujuan untuk mengembangkan  produk pengembangan media pembelajaran trainer notebook “keramik” (kerangka mini komputer) dalam bidang pendidikan secara efektif dan efisien. Penggunaan media pembelajaran ini tidak hanya menampilkan perangkat namun terdapat video perakitan yang dapat dipelajari. Penelitian pengembangan ini berpedoman model pengembangan ADDIE (Analisis, Desain, Development, Implementasi, dan Evaluasi). Kelayakan dari media pembelajaran ini ditinjau dari dua aspek yaitu aspek materi dan aspek media. Uji coba dalam penelitian ini ada tiga tahapan yaitu perorangan (3 Orang), kelompok kecil (8 Orang), dan kelompok besar (20 Orang). Instrumen yang digunakan untuk mengumpulkan data yaitu menggunakan angket. Hasil analisis menunjukkan bahwa kualitas media yang dihasilkan adalah sebagai berikut: dari uji kelayakan siswa terhadap aspek afektivitas media mendapat persentase 86.74%, aspek efisiensi memperoleh persentase 83.88%, dan untuk aspek daya tarik memperoleh persentase 88.77%. Rata-rata hasil kualifikasi dari tiga aspek media pembelajaran menurut ahli media memperoleh persentase total 89.09%, sedangkan menurut ahli materi memperoleh pesentase total 92%, dan hasil uji coba perorangan memperoleh 88%, dan dan hasil ujicoba kelompok kecil memperoleh 89%, dan hasil ujicoba kelompok besar memperoleh 85.30%, dengan demikian dapat disimpulkan bahwa media pembelajaran trainer notebook “keramik” layak digunakan dalam pembelajaran.
Kata kunci : Media Pembelajaran, Trainer Notebook “Keramik”, Merakit Notebook
"
248,Analisis Pelaksanaan Prakerin Program Teknik Komputer dan Jaringan di SMKS Al Hikam Burneh Bangkalan.,Astiyah,"Ariesta Kartika Sari, S.Si., M.Pd","Muhamad Afif Effindi, S.Kom., M.T","ABSTRAK

Praktik kerja industri atau prakerin adalah praktik kerja di dunia industri atau perusahaan sebagai bagian kurikulum pendidikan kejuruan untuk meningkatkan kompetensi. SMKS Al Hikam merupakan salah satu sekolah menengah kejuruan di Bangkalan yang melaksanakan prakerin. Penelitian ini bertujuan untuk 1). Mengetahui pelaksanaan prakerin. 2). Mengetahui kesulitan yang dihadapi siswa dalam pelaksanaan prakerin 3). Mengetahui penyebab  kesulitan siswa dalam melaksanakan prakerin. Penelitian ini menggunakan pendekatan deskriptif kualitatif. Penelitian ini menggunakan  teknik pengumpulan data melalui lembar angket, lembar observasi, dokumentasi, dan wawancara. Hasil yang diperoleh dalam penelitian ini yaitu 1). Pelaksanaan  prakerin guru  pembimbing  menyiapkan  perencanaan dengan membuat buku panduan, mendatangkan wali murid untuk koordinasi pelaksanaan prakerin, pembekalan siswa prakerin, memonitoring siswa prakerin 2). Kesulitan siswa prakerin  yaitu  tidak mengerti materi produktif, membuat kabel jaringan, bongkar  pasang perangkat keras, kedisipinan siswa yang rendah 3). Penyebab kesulitannya karena  siswa tidak telalu paham yang disampaikan oleh pembimbing , kurang  praktik dan latihan waktu di sekolah, kurangnya kesadaran terhadap pentingnya prakerin bagi siswa Kejuruan/SMK.
Kata Kunci: Praktik Kerja Industri (Prakerin). Komputer dan Jaringan.
"
249,"PENGARUH METODE PEMBELAJARAN DRILL AND PRACTICE MENGGUNAKAN CAMTASIA TERHADAP HASIL BELAJAR
SISWA RANAH PSIKOMOTOR KELAS X TKJ PADA MAPEL PRODUKTIF DESAIN GRAFIS DI SMKN 1 KWANYAR",Fajar Dwi Hariyanto,"Sigit Dwi Saputro, S.Pd., M.Pd","Muchamad Arif, S.Pd., M.Pd.","ABSTRAK
Penelitian ini bertujuan untuk: 1) Untuk mengetahui pengaruh metode pembelajaran Drill and Practice terhadap hasil belajar ranah psikomotor siswa kelas X SMK Negeri 1 Kwanyar pada mata pelajaran desain grafis. 2) Untuk mengetahui keterlaksanaan pembelajaran dengan menggunakan metode pembelajaran Drill and Practice ditinjau dari hasil belajar ranah psikomotor siswa kelas X TKJ di SMK Negeri 1 Kwanyar. 3) Untuk mengetahui bagaimana respon siswa terhadap pengaruh metode pembelajaran Drill and Practice pada mata pelajaran desain grafis. Penelitian ini merupakan penelitian kuantitatif dengan menggunakan desain Quasi Experimental Design. Populasi pada penelitian ini berjumlah 48 siswa kelas X TKJ SMK Negeri 1 Kwanyar yang yang terdiri dari kelas eksperimen dan kelas kontrol. Pengambilan sampel menggunakan teknik Non Probability Sampling dengan sampel jenuh. Teknik pengumpulan data yang digunakan yaitu tes psikomotorik, observasi guru, observasi siswa, angket, dan dokumentasi. Berdasarkan hasil uji hipotesis pada penelitian ini, disimpukan bahwa: 1). Terdapat penggunaan metode Drill and Practice terhadap hasil belajar siswa dengan ? yang diperoleh sebesar 2,141, sedangkan nilai untuk taraf signifikan 0,05 diperoleh sebesar 2,069. 2). Keterlaksanaan pembelajaran ditinjau dari lembar observasi aktivitas guru diperoleh rata-rata sebesar 81% dan ditinjau dari aktivitas siswa diperoleh nilai rata-rata sebesar 78%. 3). Respon siswa dapa penelitian diperoleh nilai rata-rata sebesar 80,5%.
Kata kunci: Metode Pembelajaran Drill and Practice, Camtasia, Desain Grafis, Hasil Belajar Siswa Ranah Psikomotor."
250,"PENGEMBANGAN MEDIA PEMBELAJARAN ""JOY DAFIS"" (Trunojoyo Desain Grafis)  BERBASIS ANDROID  PADA MATERI MODEL WARNA DI SMK",Achmad Yusuf,"Wanda Ramansyah, S.Pd., M.Pd","Ariesta Kartika Sari, S.Si., M.Pd","Penelitian pengembangan ini bertujuan untuk mengembangkan dan memvalidasi produk pengembangan media pembelajaran “joy dafis” berbasis Android pada materi model warna di sekolah menengah kejuruan pada kelas XI Multimedia agar meningkatkan mutu pendidikan secara efektif dan efisien. Penelitian pengembangan ini berpedoman pada model pengembangan ADDIE. Kelayakan dari media ditinjau dari dua ahli yaitu ahli materi dan ahli media. Uji coba penelitian ini terdapat tiga tahapan yaitu uji coba perorangan siswa (3 orang), uji coba kelompok kecil siswa (8 orang), uji coba kelompok besar  siswa (20 orang). Metode yang digunakan untuk mengumpulkan data yaitu dengan menggunakan soal angket. Hasil analisis yang dilakukan menunjukkan bahwa kualitas media yang di hasilkan adalah sebagai berikut: dari uji kelayakan siswa ini mempunyai tiga aspek yakni aspek efektifitas, efisiensi, dan daya tarik. Hasil yang diperoleh dari menurut para ahli media media memperoleh persentase 87%, sedangkan menurut ahli materi memperoleh persentase 92%, dan hasil uji coba perorangan memperoleh 94%, dan hasil uji coba kelompok kecil memperoleh 93%, dan hasil uji coba kelompok besar memperoleh 91%, dengan demikian dapat disimpulkan bahwa media pembelajaran “joy dafis” berbasis Android dapat digunakan untuk meningkatkan kualitas pembelajaran.
Kata kunci : Media Pembelajaran, “joy dafis” berbasis Android, Model Warna
"
251,Analisis Keterampilan Berpikir Kritis Siswa Kelas XI TKJ Dalam Memecahkan Masalah Pada Materi VLAN Ditinjau Dari Jenis Kelamin Dan Kemampuan Awal.,Dwi fatmawati,"Ariesta Kartika Sari, S.Si.,M.Pd.","Medika Risnasari, S.ST.,M.T.","Tujuan penelitian ini adalah untuk menganalisis kemampuan berpikir kritis pada siswa kelas XI TKJ terkait materi VLAN ditinjau dari kemampuan awal dan jenis kelamin. Dalam penelitian ini, kemampuan awal dikategorikan menjadi 3 yaitu, kemampuan awal tinggi, sedang dan rendah. Penelitian ini menggunakan pendekatan kualitatif dengan jenis deskriptif kualitatif. Teknik pengumpulan data melalui tes berpikir kritis dan wawancara. Hasil yang diperoleh adalah; a) Siswa laki-laki kemampuan awal tinggi dapat melalui tahap interpretasi, analisis, evaluasi, inference, dan eksplanasi serta self-regulation dengan baik; b) Siswa perempuan kemampuan awal tinggi dapat melalui tahap interpretasi, analisis, evaluasi, inference, dan eksplanasi serta self-regulation dengan baik; c) Siswa laki-laki kemampuan awal sedang dapat melalui tahap interpretasi, analisis, evaluasi, inference tetapi tidak dapat melalui tahap eksplanasi dan self-regulation dengan baik; d) Siswa perempuan kemampuan awal sedang dapat melalui tahap interpretasi, analisis, evaluasi, inference tetapi tidak dapat melalui tahap eksplanasi dan self-regulation dengan baik; e) Siswa laki-laki kemampuan awal rendah dapat melalui tahap interpretasi tetapi tidak dapat melalui tahap analisis, evaluasi, inference eksplanasi dan self-regulation dengan baik; dan f) Siswa perempuan kemampuan awal rendah dapat melalui tahap interpretasi tetapi tidak dapat melalui tahap analisis, evaluasi, inference eksplanasi dan self-regulation dengan baik.


Kata-kata Kunci: Berpikir kritis, Kemampuan Awal, Jenis Kelamin, Pemecahan Masalah, VLAN."
252,Pengaruh Model Pembelajaran Resource Based Learning Terhadap Hasil Belajar Siswa Kelas XI TKJ Pada Mata Pelajaran Administrasi Sistem Jaringan di SMK Negeri 1 Blega,Kutsiyah,"Ariesta Kartika Sari, S.Si., M.Pd.","Sigit Dwi Saputro, S.Pd., M.Pd.","Tujuan dilakukannya penelitian ini adalah: 1) untuk mengetahui pengaruh model pembelajaran resource based learning terhadap hasil belajar siswa kelas XI TKJ pada mata pelajaran administrasi sistem jaringan; 2) untuk mengetahui keterlaksanaan model pembelajaran resource based learning terhadap mata pelajaran administrasi sistem jaringan; dan 3) untuk mengetahui angket respon siswa selama pembelajaran resource based learning pada mata pelajaran administrasi sistem jaringan. Penelitian ini merupakan penelitian kuantitatif yang menggunakan Quasi Experimental Design dengan desain penelitian Nonequivalent Control Group Design. Pengambilan sampel pada penelitian ini menggunakan teknik nonprobability sampling dengan jenis sampel jenuh. Instrumen yang digunakan adalah tes hasil belajar pretest-posttest, lembar observasi aktivitas guru dan siswa, serta angket respon siswa. Berdasarkan hasil uji siginifikan (uji-t) diperoleh nilai t_hitung = 3,354 > t_tabel = 2,093. Sehingga dapat disimpulkan bahwa model pembelajaran resource based learning berpengaruh terhadap hasil belajar siswa kelas XI pada mata pelajaran administrasi sistem jaringan di SMKN 1 Blega. Hal ini diperkuat dengan hasil observasi aktivitas guru yang mendapatkan rata-rata 94% dengan kategori sangat baik, aktivitas siswa 81,4% dengan kategori sangat baik, dan angket respon diperoleh hasil 85,3% dengan kategori sangat baik.

Kata kunci: resource based learning, hasil belajar, administrasi sistem jaringan
"
253,ANALISIS KESALAHAN SISWA SMK KELAS X TKJ DALAM MENYELESAIKAN SOAL SISTEM BILANGAN PADA MATA PELAJARAN SISTEM KOMPUTER  BERDASARKAN METODE NEWMAN DITINJAU DARI KEPRIBADIAN SISWA,Erly Matus Sa'idah,"Puji Rahayu Ningsih, S.Pd., M.Pd.","Muhamad Afif Effindi, S.Kom., M.T.","Tujuan dari penelitian ini adalah untuk mengidentifikasi jenis kesalahan siswa kelas X TKJ 1 SMKN 1 Labang dalam menyelesaikan soal pada materi sistem bilangan dengan menggunakan analisis kesalahan Newman ditinjau dari kepribadian ekstrovert dan introvert. Penelitian ini menggunakan pendekatan kualititif dengan jenis penelitian deskriptif kualitatif. Teknik pengumpulan data melalui angket kepribadian, tes tulis dan wawancara. Prosedur pemilihan subjek adalah dengan menggunakan purposive sampling. Subjek dalam penelitian ini adalah 2 siswa dengan kepribadian ekstrovert dan 2 siswa dengan kepribadian introvert. Uji keabsahan data yang digunakan yaitu dengan triangulasi teknik dan triangulasi sumber. Analisis data terdiri dari reduksi data, penyajian data, dan penarikan kesimpulan atau verifikasi. Hasil penelitian analisis soal sistem bilangan berdasarkan kesalahan Newman menunjukkan bahwa; 1) subjek ekstrovert telah melakukan kesalahan yang dapat memenuhi 3 indikator Newman, yaitu kesalahan membaca, kesalahan memahami, dan kesalahan penulisan jawaban, kesalahan yang dilakukan subjek ekstrovert lebih sedikit daripada subjek introvert. 2) subjek introvert telah melakukan kesalahan yang dapat memenuhi 4 indikator Newman, yaitu kesalahan memahami, kesalahan transformasi, kesalahan ketrampilan memproses, dan kesalahan penulisan jawaban, kesalahan yang dilakukan subjek introvert lebih banyak daripada subjek ekstrovert.
Kata-kata Kunci:  Kesalahan, Analisis Newman, Sistem Bilangan, dan Kepribadian."
254,Analisis Proses Berpikir Kritis Siswa Dalam Pemecahan Masalah Pemrograman Dasar Ditinjau dari Kepribadian,Nila Lutfiana Devi,"Sigit Dwi Saputro, S.Pd., M.Pd.","Muchamad Arif, S.Pd., M.Pd.","Penelitian ini bertujuan untuk mendeskripsikan proses berpikir kritis siswa dengan menggunakan indikator berpikir kritis milik Ennis, yaitu memberikan penjelasan sederhana, membangun kemampuan dasar, menyimpulkan, membuat penjelasan lanjut, strategi dan taktik dalam pemecahan masalah pemrograman dasar  yang ditinjau dari tipe kepribadian. Jenis penelitian ini adaah deskriptif kualitatif dengan teknik pengambilan sampel menggunakan teknik purposive sampling. Analisis data yang diguakan adalah reduksi data, penyajian data, dan penarikan kesimpulan. Diperoleh 8 subjek yang diambil dari kelas X TKJ SMK Al-Muhajirin Arosbaya dengan kategori tipe kepribadian guardian, artisans, rational, dan idealist. Hasil penelitian menunjukkan bahwa: 1) siswa dengan tipe kepribadian guardian dapat mencapai indikator memberikan penjelasan sederhana dan membangun kemampuan dasar; 2) siswa dengan tipe kepribadian artisans dapat mencapai indikator memberikan penjelasan sederhana dan membangun kemampuan dasar; 3) siswa dengan tipe kepribadian rational dapat mencapai indikator memberikan penjelasan sederhana, membangun kemampuan dasar, menyimpulkan, membuat penjelasan lanjut, strategi dan taktik; 4) siswa dengan tipe kepribadian idealist dapat mencapai indikator memberikan penjelasan sederhana, membangun kemampuan dasar, menyimpulkan, membuat penjelasan lanjut.

Kata Kunci : Proses Berpikir Kritis, Pemecahan Masalah Pemrograman Dasar, Tipe Kepribadian.
"
255,PROFIL BERPIKIR KRITIS DITINJAU DARI MOTIVASI BELAJAR SISWA DALAM MATA PELAJARAN PEMROGRAMAN DASAR KELAS X TKJ,Zaqiyah,"Puji Rahayu Ningsih., S.Pd.,M.Pd.","Muchamad Arif.,S.Pd.,M.Pd","Abstrak
Kemampuan berpikir kritis merupakan suatu modal yang harus dimiliki oleh siswa sebagai bekal dalam menghadapi perkembangan pada masa sekarang ini sehingga akan terus mendorong dalam menyelesaikan masalahnya. Akan tetapi di SMKN 1 Arosbaya banyak siswa yang masih kurang termotivasi dalam pembelajaran, hal ini dapat menyebabkan kurangnya kemampuan dalam memecahkan masalah yang komplek dan berpengaruh terhadap kemampuan berpikirnya. Hasil pembelajaran yang dilakukan siswa sering kali masih kurang maksimal, hal ini terlihat ketika guru masih sering memberikan ujian remidi untuk siswa yang mendapat nilai di bawah KKM. Sehingga, penelitian ini bertujuan untuk  mengetahui profil berpikir kritis siswa dengan menggunakan indikator FRISCO (Focus, Reason, Infrence, Situation, Clarity, Overview) yang di tunjau dari motivasi belajar siswa dalam  mata pelajaran  pemrograman dasar  siswa kelas X TKJ di SMKN 1 Arosbaya. Jenis penelitian ini adalah  deskriptif kualitatif dengan teknik pengambilan sampel menggunakan purposive sampling. Analisis data menggunakan reduksi data, penyajian data, dan penarikan kesimpulan. Teknik pengambilan data menggunakan angket motivasi M.Jhon Keller, tes tulis dan tes wawancara berdasarkan indikator FRISCO. Sampel penelitian ini terdiri dari siswa yang memiliki: 1) motivasi belajar sangat kuat,  2) siswa dengan motivasi belajar kuat, 3) siswa dengan motivasi belajar cukup kuat, 4) siswa dengan motivasi belajar kurang kuat,5)  siswa dengan  motivasi belajar sangat kurang kuat. Hasil penelitian menunjukkan bahwa: 1) siswa dengan motivasi belajar sangat kuat cenderung mampu mencapai semua indikator FRISCO; 2) siswa dengan motivasi belajar kuat cenderung mampu mencapai 3 indikator yaitu Focus, Situation, Overview; 3) siswa dengan motivasi belajar cukup kuat cenderung mampu mencapai empat indikator  yaitu Focus,  Infrence, Situation, Overview;  4) siswa dengan motivasi belajar kurang kuat cenderung mampu  mecapai dua indikator   yaitu Focus, Overview; dan 5) siswa dengan motivasi belajar sangat kurang kuat cenderung mampu mencapai indikator  Focus, Overview.
Kata Kunci: Motivasi Belajar Siswa, Berpikir Kritis FRISCO. Pemrograman Dasar

Kata Kunci: Motivasi Belajar Siswa, Berpikir Kritis FRISCO. Pemrograman Dasar"
256,PENGEMBANGAN MEDIA PEMBELAJARAN VIRTUAL REALITY PADA MATERI PENGENALAN TERMINATION DAN SPLICING FIBER OPTIC DI PRODI PENDIDIKAN INFORMATIKA,Irnando Arkadiantika,"Wanda Ramansyah, S.Pd., M.Pd.","Muhamad Afif Effindi, S.Kom., M.T.","Proses pembelajaran yang baik haruslah memuat aspek interaktif, menyenangkan, memotivasi dan memberikan ruang yang lebih bagi siswa. Media pembelajaran yang menarik juga sangat diperlukan bagi mahasiswa. Perlu dipertimbangankan dalam pemilihan media antara lain tujuan pembelajaran, efektif, mudah diperoleh peserta didik, penggunaan tidak kaku, biaya, dan kualitas. Salah satu perkembangan media pembelajaran yang saat ini masih baru adalah media pembelajaran dengan menggunakan Virtual Reality. Virtual Reality merupakan aplikasi dimana pengguna akan merasakan dunia buatan berdasarkan bentuk aslinya. Penelitian ini bertujuan untuk menghasilkan media pembelajaran virtual reality pada materi termination dan splicing fiber optic di prodi Pendidikan Infromatika. Penelitian ini merupakan penelitian pengembangan menggunakan model 4D yang terdiri dari 4 tahap, yaitu (1) define (pendefinisian); (2) design (perancangan); (3) develop (pengembangan); dan (4) desseminate (penyebarluasan) tidak dilakukan. Uji coba dalam penelitian ini melibatkan ahli materi, ahli media, perorangan (3 mahasiswa), kelompok kecil (9 mahasiswa), dan kelompok besar (22 mahasiswa). Hasil validasi ahli materi sebesar 75% (valid). Hasil validasi ahli media dengan persentase  97,5% (sangat valid). Hasil uji coba perorangan dengan persentase sebesar 84,17% (valid). Hasil uji coba kelompok kecil dengan persentase sebesar 83,33% (valid). Hasil uji coba kelompok besar dengan persentase sebesar 84,55% (valid). Kesimpulan dari penelitian ini media pembelajaran virtual reality pengenalan termination dan splicing fiber optic sangat layak digunakan dalam pembelajaran.

Kata kunci: virtual reality, pembelajaran, media pembelajaran, fiber optic, 4D
"
